out_id,MeanDecreaseAccuracy,MeanDecreaseAccuracy.pval,Run,Group_type
942ec60e75a4f9183b9b69cbf8960379,4.671480892,0.00990099,1,A
e3f6085120269cc587278b4f3486c200,4.501175984,0.00990099,1,A
ca9c66d47347c03d0343d6fe03ed8636,3.821076897,0.00990099,1,A
59f7d8a7f37d6eeec95eb556f33da267,3.574006812,0.00990099,1,A
f9612c98d79c37a803a973724113cef6,3.572512285,0.01980198,1,A
e606e6a9dbcbaefd0fe8f53571bbcab0,3.41833813,0.00990099,1,A
cd9401a6bce4a63af516d06d2a843f9d,3.412942902,0.02970297,1,A
98bcf713cdab713b589f72f2ebcef570,3.261025996,0.00990099,1,A
0742cfecfd813221ea093f30fae710a1,3.217985467,0.00990099,1,A
06f825b512d903b9230e1a55d87359ee,3.113350489,0.02970297,1,A
ddfd49f939f92958b1ec816741055348,3.050843541,0.01980198,1,A
17ae20a577370dc92154c6b1f5b2a5aa,2.971866414,0.01980198,1,A
814d36cce47414becceb7665900831e6,2.721341705,0.03960396,1,A
365bfd091ff876a2a7e7dd123604ed1b,2.401033686,0.00990099,1,A
fcb6828a045dc6a69bad8b8de33f7547,2.399449452,0.02970297,1,A
cb7b110627b75c179449ecb70f8bc8d0,2.235285599,0.04950495,1,A
101951aabf4e77306397fe2aef3a7e88,2.233074845,0.02970297,1,A
a2cec0e8d7fe26f1b4376f3692c2c51e,2.218169722,0.03960396,1,A
02ed3db36ac309dbfe88cfe86ed18546,2.188425871,0.02970297,1,A
8674dcf0cfe35939037fa9a5b986866f,2.148482364,0.04950495,1,A
2740cf2417c92847cc298cbd71dd1fcd,2.13835717,0.03960396,1,A
63afe8e6aac58bf0d670a82ca5bc574c,2.010404471,0.04950495,1,A
fe73e5d0bdfc14cc89078fe6b9500b15,2.008048322,0.00990099,1,A
67c513597110e7c0bdf71d7a30a002c0,2.006290444,0.01980198,1,A
d46e2205f0c6ecf67b51f83d111c509c,1.967586295,0.01980198,1,A
70dbac76545ca7f0d29e40f47caf5706,1.928715497,0.02970297,1,A
6941eda7df776b8ff1deeb8824906b14,1.915111569,0.03960396,1,A
