run,FluA,FluB,RSV,RHV,CTL
RUN1,90.18595,92.41462,82.82872,83.66031,88.58288
RUN2,74.58678,92.30529,69.29066,88.71271,88.73386
RUN3,78.5124,92.66972,85.8564,88.5649,93.02895
RUN4,81.40496,93.73698,83.82353,88.48428,93.60162
RUN5,79.75207,92.03978,89.18685,87.27493,86.16722
RUN6,76.44628,91.87318,80.36332,87.69148,89.54602
RUN7,77.89256,92.65931,85.89965,86.54931,95.12703
RUN8,69.42149,89.9521,88.84083,86.76431,91.75344
RUN9,82.85124,91.42545,81.57439,85.68933,91.51916
RUN10,88.01653,91.51395,81.83391,84.57404,91.87838
RUN11,86.77686,92.26885,83.13149,86.44182,93.19554
RUN12,81.61157,92.47709,82.35294,88.60521,92.02936
RUN13,86.98347,90.55602,86.41869,84.96372,90.55081
RUN14,81.50826,92.59163,88.66782,86.95243,91.90962
RUN15,74.38017,91.01937,80.23356,86.42838,88.85881
RUN16,77.47934,91.99292,86.15917,87.03306,88.52561
RUN17,86.57025,90.21241,85.12111,87.48992,92.12307
RUN18,71.90083,92.92482,85.12111,89.76082,91.54519
RUN19,77.89256,91.91483,91.6955,87.70492,89.93648
RUN20,83.78099,93.08621,81.01211,86.76431,91.61808
RUN21,75.61983,89.46793,85.07785,85.68933,92.07101
RUN22,81.40496,89.74386,83.47751,84.57404,91.68055
RUN23,88.22314,92.74781,85.12111,86.44182,92.12828
RUN24,81.19835,93.33611,85.12111,88.60521,93.6641
RUN25,82.1281,93.34132,91.6955,84.96372,91.5504
RUN26,78.71901,93.67451,81.01211,86.95243,92.4823
RUN27,87.19008,90.22282,85.07785,86.42838,90.73303
RUN28,82.85124,93.80466,83.47751,87.03306,92.33132
RUN29,82.85124,92.42503,85.12111,87.48992,90.26447
RUN30,87.60331,93.51833,85.12111,89.76082,92.36776
RUN31,72.31405,92.46668,91.6955,87.70492,90.19159
RUN32,79.95868,92.83111,81.01211,86.76431,91.36818
RUN33,79.75207,92.07101,85.07785,85.68933,88.95252
RUN34,82.95455,92.9925,83.47751,84.57404,91.20679
RUN35,87.39669,91.62328,85.12111,86.44182,89.25968
RUN36,80.16529,90.21241,85.12111,88.60521,89.8636
RUN37,67.7686,92.92482,91.6955,84.96372,92.05539
RUN38,85.53719,91.91483,81.01211,86.95243,93.7526
RUN39,74.48347,93.08621,85.07785,86.42838,91.86277
RUN40,80.78512,89.46793,83.47751,87.03306,90.48834
RUN41,67.7686,89.74386,85.12111,87.48992,91.8107
RUN42,86.57025,92.74781,85.12111,89.76082,93.14869
RUN43,71.90083,93.33611,91.6955,87.70492,93.04977
RUN44,77.89256,93.34132,81.01211,86.76431,91.51916
RUN45,83.78099,93.67451,85.07785,85.68933,93.28925
RUN46,75.61983,90.22282,83.47751,84.57404,90.59767
RUN47,81.40496,93.80466,85.12111,86.44182,93.69534
RUN48,88.22314,92.42503,85.12111,88.60521,92.26364
RUN49,81.19835,93.51833,91.6955,84.96372,92.05019
RUN50,82.1281,92.46668,81.01211,86.95243,90.48313
RUN51,78.71901,92.83111,85.07785,86.42838,91.14431
RUN52,87.19008,92.07101,83.47751,87.03306,91.35777
RUN53,82.85124,92.9925,85.12111,87.48992,89.74386
RUN54,82.85124,91.62328,85.12111,89.76082,91.27447
RUN55,87.60331,90.21241,91.6955,87.70492,90.21241
RUN56,72.31405,92.92482,81.01211,86.76431,91.51916
RUN57,79.95868,91.91483,85.07785,85.68933,90.58726
RUN58,79.75207,93.08621,83.47751,84.57404,91.68055
RUN59,82.95455,89.46793,85.12111,86.44182,91.87838
RUN60,87.39669,89.74386,85.12111,88.60521,92.93003
RUN61,80.16529,92.74781,91.6955,84.96372,91.80029
RUN62,67.7686,93.33611,81.01211,86.95243,91.30571
RUN63,85.53719,93.34132,85.07785,86.42838,91.71699
RUN64,74.48347,93.67451,83.47751,87.03306,91.93045
RUN65,80.78512,90.22282,85.12111,87.48992,95.67888
RUN66,67.7686,93.80466,85.12111,89.76082,90.54561
RUN67,86.57025,92.42503,91.6955,87.70492,90.94127
RUN68,71.90083,93.51833,81.01211,86.76431,89.85839
RUN69,77.89256,92.46668,85.07785,85.68933,90.55081
RUN70,83.78099,92.83111,83.47751,84.57404,92.82591
RUN71,75.61983,92.07101,85.12111,86.44182,92.12828
RUN72,81.40496,92.9925,85.12111,88.60521,91.6389
RUN73,88.22314,91.62328,91.6955,84.96372,91.92003
RUN74,81.19835,90.21241,81.01211,86.95243,91.00895
RUN75,82.1281,92.92482,85.07785,86.42838,90.19159
RUN76,78.71901,91.91483,83.47751,87.03306,90.07705
RUN77,87.19008,93.08621,85.12111,87.48992,91.89921
RUN78,82.85124,89.46793,85.12111,89.76082,93.5808
RUN79,82.85124,89.74386,91.6955,87.70492,92.26885
RUN80,87.60331,92.74781,81.01211,86.76431,91.47751
RUN81,72.31405,93.33611,85.07785,85.68933,92.38859
RUN82,79.95868,93.34132,83.47751,84.57404,93.26843
RUN83,79.75207,93.67451,85.12111,86.44182,88.64536
RUN84,82.95455,90.22282,85.12111,88.60521,92.28446
RUN85,87.39669,93.80466,91.6955,84.96372,92.06581
RUN86,80.16529,92.42503,81.01211,86.95243,90.56643
RUN87,67.7686,93.51833,85.07785,86.42838,88.94211
RUN88,85.53719,92.46668,83.47751,87.03306,92.87797
RUN89,74.48347,92.83111,85.12111,87.48992,92.75302
RUN90,80.78512,92.07101,85.12111,89.76082,91.74823
RUN91,67.7686,92.9925,91.6955,87.70492,87.5885
RUN92,86.57025,91.62328,81.01211,86.76431,89.61891
RUN93,71.90083,90.21241,85.07785,85.68933,94.05977
RUN94,77.89256,92.92482,83.47751,84.57404,91.32132
RUN95,83.78099,91.91483,85.12111,86.44182,92.89359
RUN96,75.61983,93.08621,85.12111,88.60521,91.10787
RUN97,81.40496,89.46793,91.6955,84.96372,91.2172
RUN98,88.22314,89.74386,81.01211,86.95243,91.15473
RUN99,81.19835,92.74781,85.07785,86.42838,87.80196
RUN100,82.1281,93.33611,83.47751,87.03306,92.88317
