genome,GC,species,GRiD,Species_heterogeneity,Coverage,ids,id,group
GCA_018371495.1_ASM1837149v1_genomic,GCA_018371495,Actinomyces sp.,1,0,0.23,LD210118-0058_S20210207-0007_FM6.GRiD,FM6,FluB
GCA_018371495.1_ASM1837149v1_genomic,GCA_018371495,Actinomyces sp.,1,0,0.274,LD210118-0059_S20210207-0008_FM14.GRiD,FM14,FluAB
GCA_018378165.1_ASM1837816v1_genomic,GCA_018378165,Veillonella sp oral taxon 780,1.65,0.23030303,0.731,LD210118-0061_S20210207-0010_FM55.GRiD,FM55,FluB
GCA_018378165.1_ASM1837816v1_genomic,GCA_018378165,Veillonella sp oral taxon 780,1.91,0.329842932,0.255,LD210118-0066_S20210207-0015_FM73.GRiD,FM73,FluB
GCA_018378165.1_ASM1837816v1_genomic,GCA_018378165,Veillonella sp oral taxon 780,1.87,0.245989305,0.73,LD210120-0002_S20210207-0017_FM130.GRiD,FM130,FluA
GCA_018378165.1_ASM1837816v1_genomic,GCA_018378165,Veillonella sp oral taxon 780,1.94,0.201030928,0.869,LD210120-0005_S20210207-0020_FM245.GRiD,FM245,FluAB
GCA_018378165.1_ASM1837816v1_genomic,GCA_018378165,Veillonella sp oral taxon 780,2.95,0.359322034,3.232,LD210120-0011_S20210207-0026_FM380.GRiD,FM380,FluAB
GCA_018378165.1_ASM1837816v1_genomic,GCA_018378165,Veillonella sp oral taxon 780,1.91,0.293193717,0.332,LD210120-0013_S20210207-0028_FM383.GRiD,FM383,FluA
GCA_018378165.1_ASM1837816v1_genomic,GCA_018378165,Veillonella sp oral taxon 780,1.93,0.248704663,0.325,LD210120-0018_S20210207-0033_FM589.GRiD,FM589,FluB
GCA_018378165.1_ASM1837816v1_genomic,GCA_018378165,Veillonella sp oral taxon 780,1.67,0.275449102,0.418,LD210120-0019_S20210207-0034_FM594.GRiD,FM594,FluB
GCA_018378165.1_ASM1837816v1_genomic,GCA_018378165,Veillonella sp oral taxon 780,1.59,0.13836478,2.338,LD210120-0021_S20210207-0036_FM610.GRiD,FM610,FluB
GCA_018378165.1_ASM1837816v1_genomic,GCA_018378165,Veillonella sp oral taxon 780,1.74,0.247126437,2.913,LD210120-0029_S20210207-0044_FHC705.GRiD,FHC705,Health
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,1.5,0.16,1.719,LD210118-0058_S20210207-0007_FM6.GRiD,FM6,FluB
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,1.37,0.109489051,7.222,LD210118-0059_S20210207-0008_FM14.GRiD,FM14,FluAB
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,4.03,0.533498759,0.463,LD210118-0060_S20210207-0009_FM44.GRiD,FM44,FluB
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,3.16,0.518987342,0.475,LD210118-0061_S20210207-0010_FM55.GRiD,FM55,FluB
GCA_018379055.1_ASM1837905v1_genomic,GCA_018379055,Lachnospiraceae bacterium oral taxon 082,1.57,0.21656051,0.457,LD210118-0063_S20210207-0012_FM63.GRiD,FM63,FluA
