,FM6,FM14,FM44,FM55,FM62,FM63,FM65,FM72,FM73,FM106,FM130,FM174,FM195,FM245,FM321,FM332,FM359,FM373,FM376,FM380,FM382,FM383,FM386,FM403,FM405,FM506,FM589,FM594,FM608,FM610,FHC633,FHC636,FHC644,FHC649,FHC659,FHC671,FHC680,FHC705,FHC712,FHC724
Abiotrophia defectiva,0,0.01178,0,0.0378,0.8,0.60587,0.07806,0,0.12894,0.01272,0,0,0,0.13585,0,0,0,0,0,0.10124,1.92699,0.07132,0,0.03334,0,0.00569,0.11335,0,0.11524,0.55788,0,0,0,0,0,0,0,0.96056,0,0.00193
Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02542,0
Acinetobacter unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366,0
Acinetobacter ursingii,0,0,0.00666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus unclassified,0.02847,0.00237,0.13222,0.03876,0,0,0.15881,0.91786,0.06292,0,4.54356,0,0,0,0.00803,0.05361,0.14709,0,0.19311,5.00078,0,0.09257,1.42366,0,0.14203,0.84632,0,3.18142,0,0,0,0.22011,1.00442,0.04804,0.84934,0.04585,0.03118,0,0.07812,0
Actinobaculum sp oral taxon 183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26803,0,0,0,0,0,0,0,0,0,0
Actinomyces cardiffensis,0,0,0,0,0,0,0,0,0,0.02195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces georgiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05038,0,0,0,0,0,0,0,0,0,0
Actinomyces graevenitzii,11.18996,10.71074,0.01905,5.33227,0.09411,0.33273,0.09534,0.28541,0.35452,0.40742,1.48646,2.55881,0.07003,0.00272,0.40754,0,0.80902,2.57473,1.14061,0,0.01675,0.55489,2.73333,2.91776,3.96912,1.30592,0.64398,3.89857,0,0,2.15205,1.41457,2.92164,0.78894,0.00297,1.20408,1.38694,0.88657,2.2288,0
Actinomyces johnsonii,0,0.01974,0,0,0.0415,0.0569,0,0,0.00147,0,0,0.17577,0,0,0,0,0.11918,0,0,0,0,0,0,0,0,0,0,0,0,0.00146,0,0,0,0,0,0,0,0,0.09361,0
