,Escherichia coli,Fusobacterium nucleatum,Haemophilus influenzae,Haemophilus sputorum,Mycoplasma pneumoniae,Porphyromonas gingivalis,Staphylococcus aureus,Treponema denticola,Treponema medium,all,group,arg,vf,arg.all,vf.all
FM6,0,0.07077,0,0.00498,0,0,0,0,0,0.07575,FluB,26,217,797.399677,2983.390606
FM14,0,0.07554,0.04498,0.012,0,0,0,0,0.00348,0.136,FluAB,31,307,800.714074,3568.313614
FM44,0,1.61709,0.05322,0.00435,0,0,0,0.05407,0.0226,1.75133,FluB,25,228,898.2709034,5262.044966
FM55,0,0.11201,0.02554,0.15958,0,0.30354,0,0.03259,0.00496,0.63822,FluB,29,306,575.9465944,5738.431792
FM62,0,0.03492,2.06807,0.02371,0,0,0,0,0,2.1267,FluB,17,248,351.9451433,6192.22087
FM63,0,0.0375,0,0,0,0.00619,0,0.005,0.00059,0.04928,FluA,28,279,577.1162902,5758.586261
FM65,0,0.14923,0.04575,0.65871,0,0,0,0.00919,0.02549,0.88837,FluA,23,180,853.741223,4679.978958
FM72,0,1.97856,2.09419,1.5807,0,0,0,0.62338,0.16294,6.43977,FluA,25,270,413.5649823,10844.72643
FM73,0,0.40472,0,0.05896,0,0.78157,0.00906,0.08917,0.0393,1.38278,FluB,30,384,520.9209654,9231.819586
FM106,0,0.21553,0.22114,0.06959,0,0.70085,0,1.08795,0.33294,2.628,FluAB,28,194,533.4397082,4424.681717
FM130,0,0.21166,0,0.05854,0,0.29736,0,0.0016,0,0.56916,FluA,30,339,1062.802883,27796.9854
FM174,0,0.53726,0.14044,0,0,2.0803,0,0,0.00447,2.76247,FluA,16,64,370.2250142,5758.487287
FM195,0,0.09226,0.12841,0,0,0.03442,0,0.08184,0.01672,0.35365,FluA,18,225,557.764369,6488.334352
FM245,0,0.91714,0,0,0,0.26089,0,0.0898,0.04832,1.31615,FluAB,21,227,382.8649315,2710.046468
FM321,0,0.21434,0.02112,0.04677,0,0.74527,0,0.21698,0.05937,1.30385,FluA,20,173,844.8195086,1490.167355
FM332,0,0,0.04582,0.00566,0,0.35775,0,0.31914,0.03647,0.76484,FluB,16,149,417.1001085,4047.113634
FM359,0,1.0185,0,1.24725,0,0,0,0.18534,0.16425,2.61534,FluAB,23,161,475.0022918,4001.815666
FM373,0,0.49677,0.09198,0.09802,0.12716,1.44326,0,0.17892,0.03355,2.46966,FluA,18,162,407.7991575,2812.959629
FM376,0,0.19843,0.13934,0.23055,0,0,0,0,0.01137,0.57969,FluAB,31,253,681.6346632,5869.033922
FM380,0,0.42652,1.93216,0.2343,0,0.53005,0,0.01115,0.07876,3.21294,FluAB,27,332,1118.418894,15238.14487
FM382,0,0.34639,0.25534,0,0,0,0,0,0,0.60173,FluAB,37,326,1363.291329,30302.79761
FM383,0,0.14541,0,0.03212,0,0,0,0.02434,0.01533,0.2172,FluA,29,336,607.7221939,5496.204675
FM386,0,0.2034,0,0.87084,0,0,0,0.00494,0.0084,1.08758,FluAB,28,320,904.4912838,6585.448671
FM403,0,0.14465,0.39486,0,0,0,0,0,0.00372,0.54323,FluAB,19,175,292.3611195,1399.187096
FM405,0,0.12567,0,0.04496,0,0.13965,0,0.01447,0.00347,0.32822,FluA,21,198,301.9521204,3349.493927
FM506,0,0.4233,0.08166,0.07205,0,0.96701,0,0.21958,0.06635,1.82995,FluAB,24,303,362.7238063,2423.685446
FM589,0,0.34165,0.02543,0.00607,0,0,0,0.02759,0.02053,0.42127,FluB,27,226,282.0911401,3202.785928
FM594,0,0.5449,2.1274,0.05384,0,0.47982,0,0.01711,0.22217,3.44524,FluB,16,170,409.8196023,2367.76256
FM608,0,0.17645,0.0196,0,0,0,0,0,0,0.19605,FluB,29,244,827.5776737,12539.49229
FM610,0,1.14512,0,0.01011,0,0.1572,0,0.07968,0.01237,1.40448,FluB,30,396,465.6402659,9762.245359
FHC633,0.01104,0.66289,0.24456,0,0,0.38571,0,0.03372,0.06468,1.4026,Health,28,242,358.952134,4609.548292
FHC636,0,0.32024,0.40746,0.00884,0,0,0,0.21574,0.03178,0.98406,Health,27,281,373.0148778,5247.508308
FHC644,0,0.16347,0,0,0,0.74905,0,0.11166,0,1.02418,Health,24,226,386.6310872,4408.603183
FHC649,0,0.14016,0,0.29163,0,0.75688,0,0.05946,0.08964,1.33777,Health,28,312,512.8325313,4666.47825
FHC659,0,0.06068,0.43041,0.06055,0,0,0,5.00E-04,0,0.55214,Health,31,296,638.7101214,8740.709956
FHC671,0,0.10597,0.08864,0.07652,0,0.58165,0,0.10555,0.03902,0.99735,Health,28,193,518.5677763,3309.152388
FHC680,0,0.11336,0.08896,0.06409,0,0.33743,0,0.08662,0.02788,0.71834,Health,27,253,674.7684246,3011.67948
FHC705,0,0.25849,1.02948,0.23587,0,0.66376,0,0.0873,0,2.2749,Health,33,372,1090.180053,20632.3543
FHC712,0.04842,0.24723,0.03551,0.51204,0,0,0,0,0.00685,0.85005,Health,36,280,959.8299527,13011.8069
FHC724,0.13861,0.292,0.73158,0.03053,0,1.80445,0,0.71146,0.12839,3.83702,Health,31,274,429.1760153,10889.38229
