Family,FHC633,FHC636,FHC644,FHC649,FHC659,FHC671,FHC680,FHC705,FHC712,FHC724,FM106,FM130,FM14,FM174,FM195,FM245,FM321,FM332,FM359,FM373,FM376,FM380,FM382,FM383,FM386,FM403,FM405,FM44,FM506,FM55,FM589,FM594,FM6,FM608,FM610,FM62,FM63,FM65,FM72,FM73
gb|CAA79727_1|ARO_3000191|tetQ,115.2022157,54.03695997,9.755083508,79.86693902,10.32911899,150.340814,88.44067973,16.33557452,25.74703046,0,48.74804966,65.81936159,183.4023021,39.76752383,171.2943395,83.88053192,459.6370332,10.07822192,72.34764316,118.9546833,15.69352677,80.74990368,0,75.28468569,93.48955324,87.42231687,24.78184127,36.37887407,29.62889033,22.29930269,46.74264692,0,196.9905195,30.86176256,20.93112486,9.648035981,126.595107,319.0140334,26.55472963,8.415985984
gb|YP_208874_1|ARO_3003930|rpsJ,9.662121318,61.75030023,22.49962809,154.5543353,225.7828792,105.5337691,11.69079111,71.92922329,52.6360663,96.90515676,77.68237592,57.50347451,21.97446937,2.084587943,39.69724507,4.946583787,8.942057346,113.0548926,35.39588993,55.08049518,59.23040747,24.55057556,86.66559279,158.6250104,72.17338678,25.77724565,92.88194137,151.3647205,29.509419,128.1130906,82.08234973,8.598442889,37.00191545,97.06522096,87.04422084,11.12636408,139.3567105,149.9631525,94.65476207,222.34492
gb|AAA88675_1|ARO_3000498|ErmF,7.395697799,36.42491376,14.09067618,18.30284019,25.82279748,46.73638347,361.4532128,69.01780235,37.1901551,22.6294528,93.88513269,15.84540186,158.380988,124.273512,20.51024328,77.32736536,132.4418049,35.27377671,87.42006882,38.18298478,18.89035629,5.248743739,118.9205379,78.685078,180.0539544,36.88128993,23.8639953,82.76193851,83.81135182,6.442020776,27.53434045,25.629974,129.8222243,10.03007283,35.27282152,28.94410794,72.93604459,161.031576,17.26057426,14.72797547
gb|ACT97371_1|ARO_3003097|CfxA6,78.44722308,31.93093089,25.73079998,37.49309082,23.39701953,84.97524268,111.0849117,64.35226326,23.90795685,8.855003271,28.16553981,25.35264298,189.9814957,53.0233651,122.4103409,36.69773271,108.143696,15.88083454,23.75048892,85.91171575,40.18493975,144.6320497,39.0045496,82.01746246,86.81172801,69.33942692,35.01781918,48.60621785,88.80436853,91.79879606,25.89436406,19.31534272,97.58326659,38.63435462,6.871328867,30.40593158,108.0533994,86.21382838,8.851576543,32.4171312
gb|AHA80960_1|ARO_3001388|TEM-211,0,4.929687576,102.3428059,0,12.05063882,0,2.082842095,41.29270226,79.0290796,0,0,328.7920887,0.236530747,78.98272094,0,0,5.403582412,0,16.50033967,0,0,453.4331397,247.5488748,5.63615025,178.7751621,0,0,23.4946895,0,0,2.109911146,207.3180119,0,0,0,0,0,2.572693818,0,9.597176999
gb|YP_002743273_1|ARO_3000616|mel,38.82741345,49.43381153,30.1943061,11.53633564,30.43647063,4.720846815,12.03419877,127.4174813,89.87620817,30.17260374,102.6030379,39.61350466,23.92339552,9.573663144,45.57831841,29.02810074,52.80071957,50.95101081,63.44773467,15.34137781,46.2435922,33.04764577,234.2006512,13.703581,36.82921794,6.629525696,11.93199765,151.6207471,8.024491132,8.28259814,7.233981071,33.3189662,39.51970298,64.39059103,52.90923228,44.79445277,30.47659983,2.477408862,41.55323433,29.7157036
gb|WP_041918279_1|ARO_3003925|Haemophilus,7.680147714,16.21108799,29.26525052,36.60568038,123.9494279,42.48762134,23.07148167,0,25.74703046,78.33272124,19.49921987,65.81936159,14.41018088,0,27.04647466,0,0,60.46933151,72.34764316,19.82578056,125.5482141,8.074990368,40.32470359,82.62953307,38.24572633,21.85557922,24.78184127,111.4103018,22.22166775,36.79384943,23.37132346,0,10.94391775,41.14901675,24.41964567,28.94410794,0,59.17195781,66.38682407,84.15985984
gb|AAF86219_1|ARO_3000375|ErmB,11.0935467,14.30978755,2.34844603,1.545044951,7.600672465,4.552245143,12.44989388,71.32173479,61.98359184,7.685474537,75.10810615,60.74070715,24.91457199,9.573663144,23.87435726,83.29802822,6.276311949,16.98367027,17.4170252,12.643611,35.89167695,56.37539572,199.0098797,4.42051,13.29943981,5.073616604,13.42349735,50.35779327,4.723851383,33.28377401,11.25285944,9.87228628,38.86104126,32.19529551,27.71435976,62.71223388,13.85299992,26.63214526,22.37481848,15.5332087
gb|NP_358469_1|ARO_3000822|pmrA,34.79339646,14.90110108,17.29310258,5.166674382,11.13003998,3.218759192,7.573971255,69.27331869,64.58557684,21.60084131,5.761133142,85.66685179,6.450838546,0,8.878893197,14.39594022,4.007897757,0,4.750097783,0,17.45590143,31.71700762,86.02693282,6.893158909,7.779433737,0,6.101589706,0.447845988,5.835993551,9.262557947,1.726290937,0,10.23919577,61.98024805,26.1110497,36.10704375,19.86831326,1.013485443,43.99754223,13.68410318
gb|WP_014065640_1|ARO_3003924|Haemophilus,2.698430278,5.695787673,16.54122856,21.28728599,42.62811012,17.22471135,5.404130841,3.370832837,14.55266939,19.39667383,8.047297087,2.263628838,5.947058774,0,20.4637348,0,0,18.71669785,19.90517166,0,32.38346793,4.998803561,13.52157719,25.38635743,18.41460897,3.382411069,2.556856639,31.90369512,16.81321951,10.81339202,9.645308094,7.204100799,2.822835927,10.61383369,3.599267502,7.96345827,0,17.51881981,16.43864215,16.2085656
gb|AAG03357_1|ARO_3000596|ErmX,1.054668172,1.048478328,5.518379172,0.304656751,15.10709912,3.236064349,3.977409626,0,77.86107893,23.50594569,11.97531314,1.980675233,11.64584515,13.79938497,0,5.382725365,2.144943159,10.94102534,8.233224062,18.4402641,12.6711817,0,41.51871864,2.716775955,6.750878103,7.301656353,23.10511604,24.64272038,0,14.64271908,3.053427749,3.728178534,64.64730332,0,6.627755642,0,2.2455266,1.635613245,0.607766699,1.987525525
gb|NP_358969_1|ARO_3000025|patB,11.13316651,8.321048539,8.026653037,1.819719609,7.48656184,1.180211704,1.735701746,44.41072263,24.70488875,24.08420334,0,74.38850268,4.764405041,0,6.534442588,6.166217674,0.427783608,0,1.088564075,0.894913706,0.708388361,25.57721156,42.82699546,2.827547646,7.332960359,0.986536562,3.355874339,0.205262744,2.34047658,4.656085552,1.054955573,3.702107355,0.740994431,29.87794183,16.42165798,27.97164717,3.63641248,0,16.84960821,7.872731862
